Name,W,A,d,ddet,bf,bfdet,tw,twdet,twdet/2,tf,tfdet,kdes,kdet,k1,bf/2tf,h/tw,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,Cw,Wno,Sw1,Qf,Qw,rts,ho,PA,PB,PC,PD,T,WGi
W10X15,15.0,4.41,9.99,10      ,4.00,4      ,0.230,  1/4 ,  1/8 ,0.270,  1/4 ,0.570, 13/16,  9/16,7.41,38.5,68.9,16.0,13.8,3.95,2.89,2.30,1.45,0.810,0.104,68.3,9.73,2.63,2.48,7.83,1.01,9.72,31.0,35.0,24.0,28.0,8  3/8 ,2  1/4 
W10X12,12.0,3.54,9.87,9  7/8 ,3.96,4      ,0.190,  3/16,  1/8 ,0.210,  3/16,0.510,  3/4 ,  9/16,9.43,46.6,53.8,12.6,10.9,3.90,2.18,1.74,1.10,0.785,0.0547,50.9,9.56,1.99,1.91,6.14,0.983,9.66,30.7,34.7,23.7,27.7,8  3/8 ,2  1/4 
W8X67,67.0,19.7,9.00,9      ,8.28,8  1/4 ,0.570,  9/16,  5/16,0.935, 15/16,1.33,1  5/8 , 15/16,4.43,11.1,272,70.1,60.4,3.72,88.6,32.7,21.4,2.12,5.05,1440,16.7,32.3,14.5,34.8,2.43,8.07,41.0,49.3,26.3,34.6,5  3/4 ,5  1/2 
W8X58,58.0,17.1,8.75,8  3/4 ,8.22,8  1/4 ,0.510,  1/2 ,  1/4 ,0.810, 13/16,1.20,1  1/2 ,  7/8 ,5.07,12.4,228,59.8,52.0,3.65,75.1,27.9,18.3,2.10,3.33,1180,16.3,27.2,12.4,29.7,2.39,7.94,40.5,48.7,25.7,33.9,5  3/4 ,5  1/2 
W8X48,48.0,14.1,8.50,8  1/2 ,8.11,8  1/8 ,0.400,  3/8 ,  3/16,0.685, 11/16,1.08,1  3/8 , 13/16,5.92,15.9,184,49.0,43.2,3.61,60.9,22.9,15.0,2.08,1.96,931,15.8,22.0,10.3,24.2,2.35,7.82,39.9,48.0,25.1,33.2,5  3/4 ,5  1/2 
W8X40,40.0,11.7,8.25,8  1/4 ,8.07,8  1/8 ,0.360,  3/8 ,  3/16,0.560,  9/16,0.954,1  1/4 , 13/16,7.21,17.6,146,39.8,35.5,3.53,49.1,18.5,12.2,2.04,1.12,726,15.5,17.5,8.30,19.7,2.31,7.69,39.3,47.4,24.6,32.6,5  3/4 ,5  1/2 
W8X35,35.0,10.3,8.12,8  1/8 ,8.02,8      ,0.310,  5/16,  3/16,0.495,  1/2 ,0.889,1  3/16, 13/16,8.10,20.5,127,34.7,31.2,3.51,42.6,16.1,10.6,2.03,0.769,619,15.3,15.2,7.28,17.1,2.28,7.63,39.0,47.0,24.3,32.3,5  3/4 ,5  1/2 
W8X31,31.0,9.13,8.00,8      ,8.00,8      ,0.285,  5/16,  3/16,0.435,  7/16,0.829,1  1/8 ,  3/4 ,9.19,22.3,110,30.4,27.5,3.47,37.1,14.1,9.27,2.02,0.536,530,15.1,13.2,6.35,15.0,2.26,7.57,38.8,46.8,24.0,32.0,5  3/4 ,5  1/2 
W8X28,28.0,8.25,8.06,8      ,6.54,6  1/2 ,0.285,  5/16,  3/16,0.465,  7/16,0.859, 15/16,  5/8 ,7.03,22.3,98.0,27.2,24.3,3.45,21.7,10.1,6.63,1.62,0.537,312,12.4,9.44,5.52,13.4,1.84,7.60,34.5,41.0,22.7,29.2,6  1/8 ,4      
W8X24,24.0,7.08,7.93,7  7/8 ,6.50,6  1/2 ,0.245,  1/4 ,  1/8 ,0.400,  3/8 ,0.794,  7/8 ,  9/16,8.12,25.9,82.7,23.1,20.9,3.42,18.3,8.57,5.63,1.61,0.346,259,12.2,7.95,4.71,11.3,1.81,7.53,34.2,40.7,22.4,28.9,6  1/8 ,4      
W8X21,21.0,6.16,8.28,8  1/4 ,5.27,5  1/4 ,0.250,  1/4 ,  1/8 ,0.400,  3/8 ,0.700,  7/8 ,  9/16,6.59,27.5,75.3,20.4,18.2,3.49,9.77,5.69,3.71,1.26,0.282,152,10.4,5.47,3.96,10.1,1.46,7.88,31.3,36.6,21.8,27.1,6  1/2 ,2  3/4 
W8X18,18.0,5.26,8.14,8  1/8 ,5.25,5  1/4 ,0.230,  1/4 ,  1/8 ,0.330,  5/16,0.630, 13/16,  9/16,7.95,29.9,61.9,17.0,15.2,3.43,7.97,4.66,3.04,1.23,0.172,122,10.3,4.44,3.23,8.37,1.43,7.81,31.0,36.3,21.5,26.8,6  1/2 ,2  3/4 
W8X15,15.0,4.44,8.11,8  1/8 ,4.02,4      ,0.245,  1/4 ,  1/8 ,0.315,  5/16,0.615, 13/16,  9/16,6.37,28.1,48.0,13.6,11.8,3.29,3.41,2.67,1.70,0.876,0.137,51.8,7.81,2.47,2.31,6.64,1.06,7.80,27.3,31.3,20.2,24.2,6  1/2 ,2  1/4 
W8X13,13.0,3.84,7.99,8      ,4.00,4      ,0.230,  1/4 ,  1/8 ,0.255,  1/4 ,0.555,  3/4 ,  9/16,7.84,29.9,39.6,11.4,9.91,3.21,2.73,2.15,1.37,0.843,0.0871,40.8,7.74,1.97,1.86,5.55,1.03,7.74,27.0,31.0,20.0,24.0,6  1/2 ,2  1/4 
W8X10,10.0,2.96,7.89,7  7/8 ,3.94,4      ,0.170,  3/16,  1/8 ,0.205,  3/16,0.505, 11/16,  1/2 ,9.61,40.5,30.8,8.87,7.81,3.22,2.09,1.66,1.06,0.841,0.0426,30.9,7.57,1.53,1.48,4.29,1.01,7.69,26.8,30.7,19.7,23.7,6  1/2 ,2  1/4 
W6X25,25.0,7.34,6.38,6  3/8 ,6.08,6  1/8 ,0.320,  5/16,  3/16,0.455,  7/16,0.705, 15/16,  9/16,6.68,15.5,53.4,18.9,16.7,2.70,17.1,8.56,5.61,1.52,0.461,150,9.01,6.23,3.88,9.39,1.74,5.93,29.9,36.0,18.8,24.9,4  1/2 ,3  1/2 
W6X20,20.0,5.87,6.20,6  1/4 ,6.02,6      ,0.260,  1/4 ,  1/8 ,0.365,  3/8 ,0.615,  7/8 ,  9/16,8.25,19.1,41.4,14.9,13.4,2.66,13.3,6.72,4.41,1.50,0.240,113,8.78,4.82,3.07,7.38,1.70,5.84,29.5,35.5,18.4,24.4,4  1/2 ,3  1/2 
W6X15,15.0,4.43,5.99,6      ,5.99,6      ,0.230,  1/4 ,  1/8 ,0.260,  1/4 ,0.510,  3/4 ,  9/16,11.5,21.6,29.1,10.8,9.72,2.56,9.32,4.75,3.11,1.45,0.101,76.5,8.58,3.34,2.15,5.32,1.66,5.73,29.1,35.1,18.0,24.0,4  1/2 ,3  1/2 
W6X16,16.0,4.74,6.28,6  1/4 ,4.03,4      ,0.260,  1/4 ,  1/8 ,0.405,  3/8 ,0.655,  7/8 ,  9/16,4.98,19.1,32.1,11.7,10.2,2.60,4.43,3.39,2.20,0.967,0.223,38.2,5.92,2.42,2.24,5.77,1.13,5.88,23.7,27.7,16.6,20.6,4  1/2 ,2  1/4 
W6X12,12.0,3.55,6.03,6      ,4.00,4      ,0.230,  1/4 ,  1/8 ,0.280,  1/4 ,0.530,  3/4 ,  9/16,7.14,21.6,22.1,8.30,7.31,2.49,2.99,2.32,1.50,0.918,0.0903,24.7,5.75,1.61,1.52,4.08,1.08,5.75,23.2,27.2,16.1,20.1,4  1/2 ,2  1/4 
W6X9,9.00,2.68,5.90,5  7/8 ,3.94,4      ,0.170,  3/16,  1/8 ,0.215,  3/16,0.465, 11/16,  1/2 ,9.16,29.2,16.4,6.23,5.56,2.47,2.20,1.72,1.11,0.905,0.0405,17.7,5.60,1.19,1.15,3.04,1.06,5.69,22.9,26.8,15.7,19.7,4  1/2 ,2  1/4 
W6X8.5,8.50,2.52,5.83,5  7/8 ,3.94,4      ,0.170,  3/16,  1/8 ,0.195,  3/16,0.445, 11/16,  1/2 ,10.1,29.1,14.9,5.73,5.10,2.43,1.99,1.56,1.01,0.890,0.0333,15.8,5.55,1.06,1.03,2.78,1.05,5.64,22.8,26.7,15.6,19.5,4  1/2 ,2  1/4 
W5X19,19.0,5.56,5.15,5  1/8 ,5.03,5      ,0.270,  1/4 ,  1/8 ,0.430,  7/16,0.730, 13/16,  7/16,5.85,13.7,26.3,11.6,10.2,2.17,9.13,5.53,3.63,1.28,0.316,50.9,5.94,3.21,2.42,5.73,1.45,4.72,24.4,29.4,15.3,20.4,3  1/2 ,2  3/4 
W5X16,16.0,4.71,5.01,5      ,5.00,5      ,0.240,  1/4 ,  1/8 ,0.360,  3/8 ,0.660,  3/4 ,  7/16,6.94,15.4,21.4,9.63,8.55,2.13,7.51,4.58,3.00,1.26,0.192,40.6,5.81,2.62,1.99,4.74,1.43,4.65,24.0,29.0,15.0,20.0,3  1/2 ,2  3/4 
W4X13,13.0,3.83,4.16,4  1/8 ,4.06,4      ,0.280,  1/4 ,  1/8 ,0.345,  3/8 ,0.595,  3/4 ,  1/2 ,5.88,10.6,11.3,6.28,5.46,1.72,3.86,2.92,1.90,1.00,0.151,14.0,3.87,1.36,1.24,3.09,1.16,3.82,19.5,23.6,12.4,16.4,2  5/8 ,2  1/4 
